source,time,person,location,organization,miscellaneous
americablog,2007-09-01T00:00:00,robin hayes|linda daves|privette|coy privette|david vitter|robin â€œ flipper|party|daves|coy c. privette|coy,blue nc|north carolina,hayes|nc|bff|cabarrus county|gop|republican party|nc gop|the christian action league,hill|christian action league
americablog,2007-09-01T00:00:00,lady astor|barney frank|craig|larry craig,idaho|free republic|texas,lawrence|redeemer|senator|supreme court,victorians|victorian
americablog,2007-09-01T00:00:00,carl sandburg|larry craig,d.c.|chicago,that â€™s mountain|idaho statesman,marine corps marathon
americablog,2007-10-01T00:00:00,blackwater,iraq,state department|north carolina-based blackwater|dyncorp|blackwater usa|iraqi vice president|triple canopy,blackwater rent-a-cops|iraqis|blackwater â€™s
americablog,2007-10-01T00:00:00,james c. dobson|rudy|richard a. viguerie|tony perkins,salt lake city,council for national policy|family research council|family|gop|focus|rudolph w. giuliani|republican party,christians|christian
americablog,2007-11-01T00:00:00,alex|alexandre robert|bastille day,persian gulf|dubai,new york times,middle eastern|europeans|french|emirati
americablog,2007-12-01T00:00:00,thatcher|reagan|tom|blair,uk|london|iraq|britain,falklands war and reagan|blair and bush|brits,british
americablog,2007-12-01T00:00:00,yard montgomery|neal,paris|uk|st. pancras|europe|london|cheddar|france,eurostar|london eurostar,british|victorian
americablog,2008-01-01T00:00:00,mitt romney|gee|george bush|huckabee,iraq,america â€™s,eastasia
americablog,2008-01-01T00:00:00,dennis kucinich|barack obama,iowa|ohio,democratic presidential,new year
americablog,2008-01-01T00:00:00,stephen hess|hess|mike huckabee|huckabee,iowa|christ|arkansas,reuters|southern baptist|associated press|brookings institution,catholics|jews
americablog,2008-01-01T00:00:00,karl rove|nancy pelosi,pelosi|dems|iraq,san francisco democrat|republican white house|reid,joe
americablog,2008-02-01T00:00:00,hillary clinton|harold ickes,new york,reuters,super tuesday
americablog,2008-02-01T00:00:00,louise â€ù|len nichols|nichols|howard wolfson|neera tanden|ben,illinois|skokie,â€œ harry|harry|louise|clinton campaign,nazis|nazi|new america|politico
americablog,2008-03-01T00:00:00,hagee|agee|cornerstone church,san antonio,cornerstone|east side|express-news|wall street journal,anti-catholic|nexis
americablog,2008-04-01T00:00:00,ken rudd|john mccain|nouri al-maliki|george bush|is sadr|sadr|moqtada,baghdad|basra|iraq,his [ sadr|mahdi army|how moqtada al-sadr won|time magazine,british|australian|anti-american|iraqis
americablog,2008-05-01T00:00:00,parrish|cindy|john mccain|the real mccain|joe biden|cliff schecter|marty parrish,des moines,huff post|secret service|clive,christians|dem
americablog,2008-05-01T00:00:00,wright|ben smith|george stephanopolous|george|jed|calderone|stephanopoulos|george stephanopoulos,indiana,â€œ gibson,swift boat
americablog,2008-06-01T00:00:00,ben smith|george|dee dee myers|bill clinton|george stephanopoulos|dee dee,joe,abc|clintons â€™|vanity fair,clintons
americablog,2008-06-01T00:00:00,joe lieberman|mandy grunwald|hillary â€™s|john mccain|howard wolfson|dick morris|george bush|terry mcauliffe|harold ickes,michigan|florida,roe v. wade|supreme court,anti-hillary
americablog,2008-06-01T00:00:00,mandy grunwald|scott mcclellan|david bonior|mark sanford|ickes|â€” mcauliffe|brendan sullivan|hilary rosen|hillary rodham clinton|terry mcauliffe|chris dodd|harold ickes|ed rendell|george stephanopoulos|leslie sanchez|bill nelson|team clinton|jamal simmons|john mccain|claire mccaskill|howard wolfson|like bush|bonior|tom daschle,iraq,late edition|this week|abc|nbc â€™s|cbs â€™|fox news|nation â€ù â€”|cnn,press|russert
americablog,2008-07-01T00:00:00,â€ù obama,illinois|san francisco,pride breakfast|california constitution|alice b. toklas lgbt democratic club|sac bee,u.s. constitution
americablog,2008-08-01T00:00:00,paris hilton|ken goldstein|john mccain|shanto iyengar|dan schnur|barack obama|britney spears,paris|britney|arizona|berlin|madison,stanford university|university of wisconsin,european
americablog,2008-08-01T00:00:00,joelle â€™s,chris,nasdaq|joelle,sushi
americablog,2008-08-01T00:00:00,chris,europe|france|web|spain,tv,internet
americablog,2008-09-01T00:00:00,sarah palin|senator hollis|john mccain,ohio|arizona|alaska,special counsel steve|anchorage daily news|pta,french
americablog,2008-09-01T00:00:00,bill schuster,minneapolis,abc|hookers and blow,house gop
americablog,2008-10-01T00:00:00,sarah palin,alaska,human rights campaign,wasilla
americablog,2008-10-01T00:00:00,sarah palin,alaska,human rights campaign,wasilla
americablog,2008-10-01T00:00:00,jeremiah wright|john mccain|ayers|election day|barack obama|jonathan martin,ohio|florida|pennsylvania|chicago,gop|the gop|west,muslim
americablog,2008-11-01T00:00:00,sarah palin|julian zelizer,lakeville|minn.|new hampshire,princeton university,arab
americablog,2008-12-01T00:00:00,sean penn|walter cronkite|chris,paris,â€œ milk|bay area,milk
americablog,2008-12-01T00:00:00,mark halperin|rush limbaugh|jason linkins|jed lewison|halperin|hannity|jed|sean hannity|keith olbermann,iraq,nyt|rush / drudge|new york times|time magazine|â€œ land of lincolner,pro-obama
americablog,2008-12-01T00:00:00,david schneider|bill clinton,california|wall street,paris welch|washington mutual|associated press|gop,ponzi
americablog,2009-01-01T00:00:00,pell|claiborne pell,r.i.|catholic|newport,senate foreign relations committee|foreign service|national endowment for the arts and humanities|rhode island democrat,pre-ronald reagan
americablog,2009-01-01T00:00:00,george bush,helmand|afghanistan|iraq,taliban|reuters,afghan
americablog,2009-02-01T00:00:00,luca zaia|zaia|silvio berlusconi,milan|lombardy|peru|lucca|veneto|italy|china,minister of agriculture|northern league,italian|italians|chinese
americablog,2009-02-01T00:00:00,john boehner|sarah palin|jane bryant quinn|broder|frank rich|rich|john mccain|david broder|eric cantor,ohio|web|virginia|wall street,votes obama truly needs|g.o.p.|katrina|house republicans|republican congressional|markos moulitsas zÃºniga,hill|no â€™
americablog,2009-02-01T00:00:00,mandelson|angela merkel|new labour|gordon brown|marshall plan|medvedev|merkel|lord|tony blair|peter mandelson,hungary|brazil|uk|russia|europe|nice|france|wall street|spain,â€œ sir|eu|societe generale|lula,european|british|german|french
