source,time,person,location,organization,miscellaneous
americablog,2012-04-01T00:00:00,mitt romney|david javerbaum|javerbaum|newt gingrich,tiffany,schrÃ¶dinger â€™s bush|tea party|solyndra|schrÃ¶dinger â€™s cat|â€œ schrÃ¶dinger â€™s|grey lady|new york times|internet,super pacs
americablog,2012-05-01T00:00:00,richard devos|adelson|devos|rick perlstein|sheldon adelson|walker|newt gingrich|rick santorum|scott walker,wisconsin,milwaukee|political carnival|racine county|hendricks|movement conservative ball|money|milwaukee journal sentinal|amway|monster mash|las vegas sands,future
americablog,2012-06-01T00:00:00,big oil|andrew su,singapore|middle east,compass global markets,gmt
americablog,2012-06-01T00:00:00,jay townsend|tom â€ù|lilly ledbetter|nan hayworth|townsend,gop|new york,tom,war
americablog,2012-07-01T00:00:00,mÃ_ller|aziz osmanoglu|alexander mÃ_ller,zurich,tages anzeiger ( daily news,muslim|swiss
americablog,2012-07-01T00:00:00,digby|hazlitt|william hazlitt,borg,lincoln â€™s cooper union,english
americablog,2012-08-01T00:00:00,maureen dowd|rick gorka|david muir,pilsudski square,abc news,english|polish
americablog,2012-08-01T00:00:00,tillerson|rex tillerson|greene|jeff greene|paul krugman|jack welsh|publius tags|bain|rolling stone|mckibben|bill mckibben|carly fiorina|naomi klein,wall street|arctic|earth,ceo|tea party|â–  elite|north haven peninsula|oil can henry|exxon|boards of directors|oil barons|exxonmobil,sag harbor|post-reagan
americablog,2012-10-01T00:00:00,gay america|emmett c. burns|chris kluwe|brendon ayanbadejo,minnesota|maryland|web|israel,first amendment|star tribune|nfl|adam & eve|ed show,greek|ravens
americablog,2012-10-01T00:00:00,jerry brown,northern california|california|gaylesta,equality california|lord â€ù|lambda legal|national center for lesbian rights|shutterstock|senate bill|nclr|mental health america of|courage campaign|lgbt,lord
americablog,2012-10-01T00:00:00,â€ù limbaugh|patrick cox|david furnish|david|laura|ann coulter|everett|rupert everett,ohio,â€_ first,british
americablog,2012-10-01T00:00:00,mitt romney|sarah jones|stan greenberg|colmes|butterfass|alan colmes|wayne butterfass,ohio|cincinnati,columbus dispatch|republican party|let detroit go bankrupt,republican national convention
americablog,2012-11-01T00:00:00,sanders|david koch|â€ù obama|medicare|daddy koch|publius tags|open rebellion|social security|barack obama,medicaid,des moines register|our betters|no cuts â€”|no cuts|huffington post|bush â€“ obama tax cuts|yahoo news,krugman|grand bargain|rubinesque|dem
americablog,2012-11-01T00:00:00,al sharpton|governor oâ€™malley|gay|ken mehlman|martin oâ€™malley|marylanders united|frank schubert,columbia|maryland,washington post|Â  maryland general assembly|baltimore sun Â |question|Â  question|national organization for marriage|nom,african american|catholic
americablog,2012-12-01T00:00:00,notre dame|Â  music|buddy guy,maryland|virginia|nebraska|luxembourg|north carolina,big ten|georgia tech,british|midwest
americablog,2013-02-01T00:00:00,andrew|aaron schock|ed koch|michael musto|gay|andrew sullivan|koch|rex wockner|ken mehlman|lindsey graham|larry kramer,manhattan,aids|gop|san francisco,democratic senator
americablog,2013-02-01T00:00:00,paul ryan|fox|fox news|ray rayner|rogers|gets better,chicago|captain,tv|walmart,captain kangaroo
americablog,2013-02-01T00:00:00,george osborne|elizabeth warren,uk|atlantic,financial services authority|royal bank of scotland|libor|rbs,libor-rigging|libar-rigging|british
americablog,2013-03-01T00:00:00,josef goebbels|cuomo|obama hitler|matt drudge|david keened|wayne lapierre|goebbels|james yeager|andrew cuomo|ted nugent|lapierre|hitler|scheme|don â€™|adolf hitler|joseph goebbels|keene,rambo|albany|ger|nazi germany|tennessee|nazi|web|germany|berlin|new york|soviet union,nra|jewish books destruction day|sandy hook elementary|adl|pages|second amendment|new york daily news|light weapons destruction day|destroy|tea party|u.n. & obama â€™s scheme|united nations small arms|america disarmed|vÃ¶lkischer beobachter|populist observer|u.n.|ceo of tactical response|hegel platz,nazi ger|jewish|un-german|euro-style|german|holocaust|war|opera platz|nazi german|holo|jews
americablog,2013-03-01T00:00:00,matt gibson|medicare,gop|wall street,social security,reagan|medicaid
americablog,2013-03-01T00:00:00,john boehner|munoz|sessions|arreaga garcia|latinos|goodlatte|jeff sessions|u-turn|bob goodlatte|nora munoz,n.y.|queens|virginia|new york|alabama,werner arreaga garcia|hudson county|ice|house judiciary committee|national immigration forum|immigration and customs enforcement,guatemalan
americablog,2013-03-01T00:00:00,ratzinger|toibin|george clooney|andrew|holy daddy|georg gÃ_nswein|angelo quattrochi|oâ€™clock mass|benedict|Â  gay|melrose place|andrew sullivan|rachel maddow|his holynesss|colm toibin|rachel|hugh grant|maddow,gÃ_nswein|vatican,pope emeritus|his yummy-ness|so benedict|â€˜ second loggia|holy father|pope â€™s|pope gay,new roommate tags|pope
americablog,2013-04-01T00:00:00,â€œ god|andrew walker|ryan anderson|anderson|mr. cooper|megyn kenny|caitlin seery|bill oâ€™reilly|george|your honor|adam|andrew t. walker|eric teetsel|girgis|Â  well,europe|shutterstock|male,shutterstock first|shutterstock you|heritage foundation|fox news|love and fidelity network|supreme court justice kagan|nyt|cnn|supreme court|edith|manhattan declaration|gop,catholic|rnc|times|english
americablog,2013-04-01T00:00:00,donna shalala|pete peterson|like nixon|gillon|bowles|david koch|nixon|monica lewinski|jane hamsher|newt gingrich|paul ryan|hamsher|alan greenspan|bill clinton|alan simpson|barack obama|ronald reagan|erskine bowles|simpson|steven gillon|publius tags|peterson|richard trumka,treasuries|wall street|china,monica|big boys|greenspan commission|social security â€ù|obama â€™s|keystone|trust fund treasuries|â€ù social security|obama and social security just|la maison|bush push|keystone sludgepipe|bush ii|trust fund|deficit commission|pharma ceos|social security|social security trust fund|democratic party|danforth commission|reagan|republican party|trust fund ? â€ù|tpp|msnbc,dems|health care|bigs|trans-pacific partnership|neoliberal|post-reagan|medicare|fund|dem
americablog,2013-04-01T00:00:00,keystone pipeline|wabasca heavy|jeffers|mayflower|alan t. jeffers|exxon-mobil â€™s,illinois|alberta|texas|patoka|arkansas,state department|keytstone pipeline|exxon-mobil|keystone xl|keystone|koch brothers|exxon mobil,keytone pipeline|crude monitor web|athabasca
americablog,2013-05-01T00:00:00,dias kadyrbayev|dzhokhar|kadyrbayev|dias|dzhokhar tsarnaev|tsarnaev,boston|chechnya|mit,fbi|suspect #|dzhokhar â€™s|cnn,boston marathon|internet
americablog,2013-05-01T00:00:00,chuck schumer|marco rubio|â€œ likely|jeff flake|latinos|gay|flake|diane feinstein|chris geidner|rubio,buzzfeed|castro|cuba,gang of eight|senate democrats|senator durbin|gop|judiciary committee|uafa|politico,catholic|latino|gay-americans
americablog,2013-05-01T00:00:00,homo|koch|david koch|era|publius tags|jay ackroyd|david kochs|david koch wealthy|avedon carol,cambrian period|mit|cambrian,great dying â€ù|paleogene|copenhagen diagnosis|cambrian ( â€œ cm â€ù|virtually speaking sundays Â |climate change|ipcc|quaternary ( q )|koch bros|age of reptiles|age of mammals|mesozoic era|paleozoic era|intergovernmental panel|cenozoic|cenozoic era|pleistocene epoch|great dying|neogene|quaternary period|holocene|hope & change,mesozoic|climate series|industrial revolution|neogene period
americablog,2013-05-01T00:00:00,kelly ayotte|joe scarborough|erica lafferty|ayotte|dawn hochsprung|lafferty,sandy hook|sandy hook elementary|newtown|christmas,gop|senator,nra
americablog,2013-06-01T00:00:00,sphinx|pyramids,giza|cairo|giza pyramids|egypt,great pyramid|u.s. embassy|world economic forum|us embassy|great sphinx|american university,bedouin
americablog,2013-06-01T00:00:00,jones|â€œ obama|van jones|publius tags,kalamazoo|michigan|canada|china,tea party|â€œ kalamazoo|bring of carbon|keystone pipeline|obama tar sands pipeline|obama â€™s|barack obama tar sands pipeline|keystone|bringer of oil|ofa,pipe-eating
americablog,2013-06-01T00:00:00,david,north africa|nice|france,chris,mediterranean
americablog,2013-07-01T00:00:00,thomas drake|bradley manning|edward joseph snowden|edward snowden,hong kong|russia|moscow,nsa|universal declaration of human rights|wikileaks,european
americablog,2013-07-01T00:00:00,dmitry zykov|glenn greenwald|ilya varlamov|edward snowden,russia|moscow,washington post â€™s|nsa|associated press|interfax|state duma,russians|anti-american
americablog,2013-07-01T00:00:00,attorney general|daniel monterroso|deputy director|bill becker|james dobson|becker|jon davidson|john aravosis|proposition|judge walker|dobson|tony perkins,san diego|california|oakland|governor|los angeles|san francisco,california â€™s proposition|health information and strategic planning â€œ|alliance defense fund|family research council|prop|defense of marriage act|discovery institute|imperial county|supreme court|california supreme court|perry|lambda legal|family|doma|california constitution|registrar of vital statistics|focus|ninth circuit|right wing watch|public health,u.s. constitution|supreme|western|japanese
americablog,2013-07-01T00:00:00,dmitry zykov|glenn greenwald|ilya varlamov|edward snowden,russia|moscow,washington post â€™s|nsa|associated press|interfax|state duma,russians|anti-american
americablog,2013-07-01T00:00:00,attorney general|daniel monterroso|deputy director|bill becker|james dobson|becker|jon davidson|john aravosis|proposition|judge walker|dobson|tony perkins,san diego|california|oakland|governor|los angeles|san francisco,california â€™s proposition|health information and strategic planning â€œ|alliance defense fund|family research council|prop|defense of marriage act|discovery institute|imperial county|supreme court|california supreme court|perry|lambda legal|family|doma|california constitution|registrar of vital statistics|focus|ninth circuit|right wing watch|public health,u.s. constitution|supreme|western|japanese
americablog,2013-07-01T00:00:00,rahm emanuel|lisa graves|publius tags,chicago,center for media and democracy|going public â€ù making,deadlines
americablog,2013-07-01T00:00:00,olympics|gay|dmitry zykov|nina long|vladimir putin|ilya varlamov,paris|sochi|quebec|russia|moscow|los angeles|new york,olympic committee|rusa lgbt|ioc|ria novosti|international olympic committee|lgbt|sister city|human rights watch|state duma,olympic|russian-speaking|winter olympics
